sample	schema	purist_linear_score	purist_probability_basal	purist_subtype	purist_graded_call	TSP1	TSP2	TSP3	TSP4	TSP5	TSP6	TSP7	TSP8
TCGA-IB-A5SQ-01	PurIST_Moffitt_tumor_intrinsic	3.314	0.964905982676697	basal_like	strong_basal_like	1	1	1	1	1	0	1	0
TCGA-2J-AABI-01	PurIST_Moffitt_tumor_intrinsic	4.728	0.991233391480979	basal_like	strong_basal_like	1	1	1	1	1	1	1	1
TCGA-HZ-A77Q-01	PurIST_Moffitt_tumor_intrinsic	-2.933	0.0505461569199547	classical	strong_classical	0	1	0	1	0	1	0	0
TCGA-HZ-8315-01	PurIST_Moffitt_tumor_intrinsic	-3.346	0.0340263937792707	classical	strong_classical	0	0	1	1	0	1	0	0
TCGA-US-A779-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-IB-7897-01	PurIST_Moffitt_tumor_intrinsic	-2.718	0.0619195355428533	classical	strong_classical	1	0	1	0	0	0	0	1
TCGA-XN-A8T5-01	PurIST_Moffitt_tumor_intrinsic	-1.352	0.205543588619475	classical	lean_classical	1	0	1	1	0	1	0	0
TCGA-HZ-7919-01	PurIST_Moffitt_tumor_intrinsic	-1.763	0.146415008986462	classical	lean_classical	0	0	1	0	0	1	1	0
TCGA-XD-AAUI-01	PurIST_Moffitt_tumor_intrinsic	-4.268	0.0138162126750525	classical	strong_classical	0	0	1	0	0	1	0	0
TCGA-2L-AAQJ-01	PurIST_Moffitt_tumor_intrinsic	-5.886	0.00277037049485031	classical	strong_classical	0	0	0	0	0	1	0	0
TCGA-IB-7652-01	PurIST_Moffitt_tumor_intrinsic	-6.33	0.00177886377378597	classical	strong_classical	0	0	0	0	0	0	0	1
TCGA-IB-7891-01	PurIST_Moffitt_tumor_intrinsic	-6.33	0.00177886377378597	classical	strong_classical	0	0	0	0	0	0	0	1
TCGA-L1-A7W4-01	PurIST_Moffitt_tumor_intrinsic	4.728	0.991233391480979	basal_like	strong_basal_like	1	1	1	1	1	1	1	1
TCGA-M8-A5N4-01	PurIST_Moffitt_tumor_intrinsic	-2.274	0.0932992832110751	classical	strong_classical	1	0	1	0	0	1	0	0
TCGA-IB-7645-01	PurIST_Moffitt_tumor_intrinsic	-5.197	0.00550269180497639	classical	strong_classical	0	0	1	0	0	0	0	0
TCGA-PZ-A5RE-01	PurIST_Moffitt_tumor_intrinsic	-2.692	0.0634470714403418	classical	strong_classical	0	0	1	0	0	0	1	0
TCGA-FB-AAPU-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-3A-A9IL-01	PurIST_Moffitt_tumor_intrinsic	-5.408	0.00446060628222613	classical	strong_classical	0	0	0	1	0	0	0	1
