gene	depmap_expression_col	n_all_expression	n_pancreas_expression	mean_expression_all	mean_expression_pancreas	pancreas_expression_percentile	depmap_crispr_col	n_all_crispr	n_pancreas_crispr	median_gene_effect_all	median_gene_effect_pancreas	n_pancreas_strong_dependency_lt_minus1	n_pancreas_dependency_lt_minus05	depmap_expression_status	depmap_crispr_status
GPD1	GPD1 (2819)	1775.0	58.0	0.5500595531453522	0.6095690479137931	0.716056338028169	GPD1 (2819)	1208.0	48.0	-0.0373134095240287	-0.0335446941943685	0.0	0.0	matched	matched
ELF3	ELF3 (1999)	1775.0	58.0	3.4205182403194367	6.818558204310345	0.7498591549295774	ELF3 (1999)	1208.0	48.0	-0.0301826782289312	-0.0329004090091362	0.0	2.0	matched	matched
NHS	NHS (4810)	1775.0	58.0	1.2574987679504226	1.8873545834655168	0.7047887323943662	NHS (4810)	1208.0	48.0	-0.0382275893203446	-0.0115018916681374	0.0	0.0	matched	matched
ANLN	ANLN (54443)	1775.0	58.0	5.844545963864789	6.517521067241379	0.655774647887324	ANLN (54443)	1208.0	48.0	-0.5063905834243019	-0.6487649860572967	5.0	39.0	matched	matched
GABRP	GABRP (2568)	1775.0	58.0	0.4473632474343662	1.4186460443448277	0.9092957746478874	GABRP (2568)	1208.0	48.0	0.033904102735785	0.0006622083109448004	0.0	0.0	matched	matched
XRCC4	XRCC4 (7518)	1775.0	58.0	3.655228287070423	3.877713803448276	0.6236619718309859	XRCC4 (7518)	1208.0	48.0	-0.2472914052885027	-0.2232774373698813	0.0	3.0	matched	matched
LRP6	LRP6 (4040)	1775.0	58.0	3.1956958369104225	3.214544051724138	0.4484507042253521	LRP6 (4040)	1208.0	48.0	-0.0012858942409414	0.007795148428718	0.0	2.0	matched	matched
TBC1D8	TBC1D8 (11138)	1775.0	58.0	3.283366260174648	4.307254772413793	0.7785915492957747	TBC1D8 (11138)	1208.0	48.0	-0.128409488227695	-0.1257986339131443	0.0	3.0	matched	matched
KIF14	KIF14 (9928)	1775.0	58.0	3.207393283657465	3.217579005172414	0.4501408450704225	KIF14 (9928)	1208.0	48.0	-0.5110169515591232	-0.5818456986539728	2.0	27.0	matched	matched
LRCH1	LRCH1 (23143)	1775.0	58.0	2.9316877241769013	2.8995084362068964	0.4822535211267605	LRCH1 (23143)	1208.0	48.0	0.0600230803147486	0.0704861538302519	0.0	0.0	matched	matched
CYP3A5	CYP3A5 (1577)	1775.0	58.0	1.9014204660901408	3.395204861724138	0.8822535211267606	CYP3A5 (1577)	1208.0	48.0	0.0374656587155303	0.0499984050896936	0.0	0.0	matched	matched
AFAP1	AFAP1 (60312)	1775.0	58.0	2.7763671505030985	3.4825362086206897	0.6585915492957747	AFAP1 (60312)	1208.0	48.0	0.131375561738175	0.1544144340910003	0.0	0.0	matched	matched
C10ORF11														not_found	not_found
NOX4	NOX4 (50507)	1775.0	58.0	0.5136458513149296	0.1361577366724138	0.6647887323943662	NOX4 (50507)	1208.0	48.0	-0.00758756394072	0.0128016148378015	0.0	0.0	matched	matched
RAB38	RAB38 (23682)	1775.0	58.0	2.2478568862895774	2.475315358344828	0.5909859154929578	RAB38 (23682)	1208.0	48.0	0.0810431496533669	0.1054987231986651	0.0	0.0	matched	matched
CYB5D1	CYB5D1 (124637)	1775.0	58.0	3.361797435684507	3.234911570689655	0.4028169014084507	CYB5D1 (124637)	1208.0	48.0	0.1007637548478697	0.1101791798733242	0.0	0.0	matched	matched
VLDLR	VLDLR (7436)	1775.0	58.0	3.407039805626479	1.9502447181896552	0.2495774647887323	VLDLR (7436)	1208.0	48.0	0.0631835130017396	0.0663559250266659	0.0	0.0	matched	matched
ZNF117	ZNF117 (51351)	1775.0	58.0	2.396292495856901	2.3504493186206896	0.512112676056338								matched	not_found
ADIPOQ	ADIPOQ (9370)	1775.0	58.0	0.0105474241323943	0.0016955143275862	0.8135211267605634	ADIPOQ (9370)	1208.0	48.0	0.0983660118085189	0.0839495510598155	0.0	0.0	matched	matched
