dataset	method	module	n_control	n_tumor	mean_control	mean_tumor	logFC	p	auc	fdr
GSE28735	gsva_ssgsea	ductal_epithelial	45	45	0.4606440175318945	0.5633771158804334	0.1027330983485388	6.555509145432981e-11	0.8716049382716049	2.097762926538554e-09
GSE28735	gsva_ssgsea	acinar_normal	45	45	0.5485397231008031	0.4659806239416664	-0.0825590991591366	0.0001002960538264022	0.2666666666666666	0.00035660819138276344
GSE28735	gsva_ssgsea	endocrine_normal	45	45	0.3096575516631563	0.066758858637117	-0.2428986930260392	2.075741463217576e-08	0.1738271604938271	1.8115561860807937e-07
GSE28735	marker_zscore	caf_fibroblast	45	45	-0.4132243903408779	0.4132243903408777	0.8264487806817558	2.7055508590008196e-05	0.7506172839506173	0.00013683146989159516
GSE28735	marker_zscore	immune_myeloid	45	45	-0.205560483159643	0.2055604831596433	0.4111209663192864	0.0757670531145245	0.6088888888888889	0.1173167274031347
GSE28735	marker_zscore	t_cell	45	45	0.0333212331187261	-0.0333212331187261	-0.0666424662374522	0.8660958697305744	0.4893827160493827	0.934215769597024
GSE28735	marker_zscore	b_cell	45	45	0.0250359784754861	-0.0250359784754858	-0.0500719569509719	0.7419639691327654	0.5204938271604939	0.8373217585687887
GSE28735	marker_zscore	endothelial	45	45	0.1100662245449275	-0.1100662245449282	-0.2201324490898558	0.4261918150774298	0.4508641975308642	0.5682557534365731
GSE28735	marker_zscore	ductal_epithelial	45	45	-0.375752398638134	0.375752398638134	0.7515047972762681	1.754835274701241e-08	0.8276543209876543	1.6846418637131913e-07
GSE28735	marker_zscore	acinar_normal	45	45	0.3686156961523507	-0.3686156961523505	-0.7372313923047014	0.00011165565588637053	0.2681481481481481	0.00037741412354415447
GSE28735	marker_zscore	endocrine_normal	45	45	0.3832602821249799	-0.3832602821249798	-0.7665205642499597	2.742038250139294e-07	0.1980246913580247	2.1936306001114357e-06
GSE62165	gsva_ssgsea	caf_fibroblast	13	118	0.3051959467088696	0.4888921611863259	0.1836962144774563	4.78432246147347e-09	0.9960886571056062	6.872206940162015e-08
GSE62165	gsva_ssgsea	immune_myeloid	13	118	0.2724034576644937	0.4105714471919995	0.1381679895275057	5.8869510696218e-06	0.8839634941329857	3.53217064177308e-05
